Content,Paper Name,Label,Document Type,Affiliations
"Alzheimer’s disease (AD), characterized by Aβ plaques and cognitive decline, remains a significant therapeutic challenge due to limited efficacy of current pharmacotherapies, while Rehmannioside A (ReA) has shown promising neuroprotective effects against neurodegenerative diseases. This research focuses on investigating the therapeutic effects of ReA on 5×FAD mice, emphasizing its potential application in AD treatment. The 5×FAD mice were divided into experimental groups and treated with ReA at varied dosages or donepezil for a twelve-week continuous treatment period. A series of evaluation methods, including behavioral tests, histopathological analysis, Western blotting, and measurement of oxidative and inflammatory markers, were implemented. The findings",Therapeutic efficacy of rehmannioside A on 5×FAD mice in Alzheimer’s disease,Alzheimer's Disease,Article,"Jiangxi University of Chinese Medicine, Nanchang, Jiangxi, China"
"This book gives an overview of the current knowledge on the most common neurodegenerative diseases, including Alzheimer's disease, frontotemporal lobar degeneration, Lewy body dementia, Parkinson's disease, amyotrophic lateral sclerosis, and additional less common neurodegenerative diseases. Both clinical and basic aspects of each disease are treated, including novel diagnostic criteria, old and new treatments, basic discoveries (genetics, epigenetics and molecular biology), and translation of basic research into biomarkers for early diagnosis, particularly to identify peripheral biomarkers. ""Neurodegenerative Disorders: From Pathogenesis to Clinical Approaches,"" is aimed at clinicians, particularly those working in academic hospitals, and researchers in medical fields. Neurodegenerative diseases (NDs)",Neurodegenerative disorders: From pathogenesis to clinical approaches,Alzheimer's Disease,Book,"School of Medical and Allied Sciences, K.R. Mangalam University, Gurugram, HR, India; Department of Pharmacology, DIT University, Dehradun, UK, India; MATS School of Pharmacy, MATS University, Raipur, CG, India; Shrinathji Institute of Pharmacy, Nathdwara, India; GLA University, Mathura, Mathura, UP, India"
"INTRODUCTION: Lower blood pressure (BP) is linked to reduced dementia risk, though it is uncertain whether this benefit stems solely from mitigating vascular brain injury (VBI) or also extends to directly influencing Alzheimer's disease (AD) pathology. We leveraged Mendelian randomization (MR) to assess whether lifelong lower BP is causally associated with neuropathological correlates of VBI and AD. METHODS: We identified genetic proxies for systolic and diastolic BP (n = 1,028,980) and applied them in MR analyses of post mortem neuropathological measures of VBI and AD (n = 6363–7786). RESULTS: Genetically proxied lower systolic BP associated with reduced risk of all","Genetically proxied blood pressure, vascular brain injury, and Alzheimer's disease pathology",Alzheimer's Disease,Article,"UCSF School of Medicine, San Francisco, CA, United States; Department of Biostatistics, College of Public Health, Lexington, KY, United States; Cognitive Neurology and Alzheimer's Disease Center, Northwestern University, Evanston, IL, United States; Department of Psychiatry and Behavioral Sciences, University of California, San Francisco, San Francisco, CA, United States; UCSF School of Medicine, San Francisco, CA, United States; Department of Biostatistics and Epidemiology, Imperial College London, London, United Kingdom"
"Background: Neuropsychiatric symptoms, such as anxiety and depression, are prevalent during the prodromal phase of Alzheimer's disease (AD). Social isolation (SI) has been implicated as a potential exacerbating factor for emotional disturbances in AD pathogenesis. Despite the well-established role of oxytocin (OXT) in regulating social behavior and mental health, its function and mechanisms in alleviating AD-related psychiatric symptoms remain poorly understood. Materials and Methods: We utilized a 12-week SI model to assess its effects on anxiety, depression-like behaviors, and social cognition in early-stage AD mice. Through immunofluorescence, enzyme-linked immunosorbent assay, and 16S rDNA sequencing, we examined the changes in AD",Oxytocin Intervention Mitigates Pathological and Behavioral Impairments in APP/PS1 Mice Subjected to Early Social Isolation,Alzheimer's Disease,Article,"Department of Neurosurgery, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; School of Electrical and Information Engineering, Zhengzhou University, Zhengzhou, Henan, China; The Clinical Hospital of Chengdu Brain Science Institute, Fourth People's Hospital of Chengdu, Chengdu, Sichuan, China"
"The National Centralized Repository for Alzheimer's Disease and Related Dementias (NCRAD) was established in 2002 to support research on the genetics of Alzheimer's disease. NCRAD quickly became a central resource, banking samples from numerous studies and distributing them to researchers worldwide. As genetic risk variants were identified, NCRAD prepared for functional studies by expanding its collections to include peripheral blood mononuclear cells (PBMCs), RNA, and biofluids. Over the past decade, NCRAD's extensive repository of plasma, serum, and cerebrospinal fluid was essential to the development of fluid biomarkers. NCRAD's rigorous best practices for sample collection, processing, and distribution ensure biospecimens are",NCRAD: Advancing Alzheimer's research through high-quality biospecimens and data,Alzheimer's Disease,Review,"Department of Medical and Molecular Genetics, Indiana University School of Medicine, Indianapolis, IN, United States"
[No abstract available] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],"Alzheimer Disease, de Quervain Tenosynovitis, Degenerative Meniscal Tears, Pet Therapy, Herpes Simplex Virus, Bone Stress Injuries",Alzheimer's Disease,Article,
"Alexander’s disease is a rare neurodegenerative disorder primarily characterized by upregulation of the GFAP gene and the formation of Rosenthal fibers. Its prognosis is fatal, with limited treatment options currently available. The GFAP protein is a marker for mature astrocytes. It results in the upregulation of reactive astroglioses. Reactive astroglioses is a neuroprotective condition that, when functioning correctly, helps protect the brain from stress and injury and prevents further injury. However, unregulated reactive astroglioses is linked with many neurodegenerative diseases. Due to the relative rarity in the incidence of AxD, treatment options have not been as widely investigated. This review",Alexander’s Disease: Potential Drug Targets and Future Directions,Alzheimer's Disease,Review,"Department of Physician Assistant Studies, High Point University, High Point, NC, United States"
"BACKGROUND: Brain function emerges from structural pathways enabling neural connectivity and communication. However, the extent of structural-functional coupling varies across brain regions, and its alteration in aging and early Alzheimer's disease (AD) remains unclear. This study investigated variations in coupling associated with age, sex, and amyloid burden in a cohort of older adults without dementia. METHOD: We included 439 participants from the AMYPAD consortium with diffusion-weighted imaging (DWI), functional magnetic resonance imaging (fMRI), and amyloid positron emission tomography (PET) available. Structural and functional connectomes comprising 100 nodes from the Schaefer atlas were built using QSIprep v0.19.0 and fMRIPrep v23.0.1. Global",Alzheimer's Imaging Consortium,Alzheimer's Disease,Article,"Amsterdam UMC - University of Amsterdam, Amsterdam, Noord-Holland, Netherlands; Università degli Studi di Pavia, Pavia, PV, Italy; Università degli Studi di Napoli Federico II, Naples, NA, Italy; Università degli Studi di Milano, Milan, MI, Italy; École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland; Université de Genève, Geneva, Switzerland; University College London, London, United Kingdom; Lunds Universitet, Lund, Skane, Sweden; Scottish Brain Sciences, Edinburgh, United Kingdom; Universitat Internacional de Catalunya, Barcelona, Barcelona, Spain; Universiteit Maastricht, Maastricht, Limburg, Netherlands; Karolinska Institutet, Stockholm, Stockholms, Sweden; Pasqual Maragall Foundation, Barcelona, Catalonia, Spain"
[No abstract available] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],"Prevention Intervention: The evidence is clear that racial discrimination, physical health and the environment contribute to Alzheimer's and other dementias. Now researchers are looking for ways to intervene",Alzheimer's Disease,Article,
"BACKGROUND: Alzheimer's disease (AD) is a highly heterogeneous condition both in terms of the distribution of pathology deposition and clinical manifestation. The organization of functional brain networks is related to AD pathology, with recent work showing that higher dementia severity is related to the desegregation of brain networks (Zhang et al., 2023). However, the spatiotemporal heterogeneity of these changes in network segregation and how they contribute to different cognitive deficit profiles remains an open area of research. To contribute to this question, we applied a clustering-based data-driven disease progression model to system-level measures of network organization. METHOD: We included 754",Alzheimer's Imaging Consortium,Alzheimer's Disease,Article,"The University of Texas at Dallas, Richardson, TX, United States; UT Southwestern Medical Center, Dallas, TX, United States; University of Southern California, Los Angeles, CA, United States"
"Background: While APOE4 mutation impacts normal myelination through disruptions of iron and lipid homeostasis, the HFE (homeostatic iron regulatory gene) polymorphism directly participates in white matter (WM) myelination and neuroinflammations processes via modulating iron homeostasis. Objective: This study investigated effects of HFE polymorphism in APOE4 gene carriers in the context of WM degeneration and neuroinflammation in Alzheimer's disease (AD). Methods: WM degeneration in AD subjects of APOE4 carriers with and without HFE H63D polymorphism was evaluated and compared with age- and sex-matched cognitive normal (CN) groups using diffusion tensor imaging (DTI) data from the Alzheimer's Disease Neuroimaging Initiative database. Results:",Linking genetics to MRI-DTI: HFE polymorphism delays Alzheimer's disease white matter degeneration in APOE4 carriers,Alzheimer's Disease,Article,"Department of Neurosurgery, Penn State College of Medicine, Hershey, PA, United States; Department of Radiology, Beijing University of Chinese Medicine, Beijing, China; Penn State College of Medicine, Hershey, PA, United States"
"Mitochondrial dysfunction is a hallmark of Alzheimer's disease (AD), contributing to cognitive decline. This study explores the therapeutic potential of mitochondrial transplantation in mitigating cognitive decline in AD. Structurally and functionally characterized mitochondria from young rat brains were intravenously transplanted into AD rats. Confocal imaging confirmed integration of exogenous tagged mitochondria into hippocampal tissue. Post-mitotherapy, we noted significant cognitive improvement by neurobehavioral tests and significant reduction in protein levels of amyloid precursor protein. Further mitochondrial functional parameters improved; reduced oxidative stress, improved mitochondrial membrane potential, and calcium homeostasis. These findings highlight mitotherapy as a promising strategy for treating Alzheimer's disease.",Mitotherapy Restores mitochondrial function and improves cognitive deficits in Alzheimer's disease,Alzheimer's Disease,Article,"Department of Anatomy, Postgraduate Institute of Medical Education and Research, Chandigarh, Chandigarh, CH, India; Department of Anaesthesia and Intensive Care, Postgraduate Institute of Medical Education and Research, Chandigarh, Chandigarh, CH, India; Postgraduate Institute of Medical Education and Research, Chandigarh, Chandigarh, CH, India"
"Excessive oxidative stress in human cells is linked to aging and underpins pathologies such as Alzheimer’s disease, diabetes, and cancer. Understanding the molecular mechanisms behind this is crucial, and to this end, cell models that can produce varying levels of oxidative stress are essential. This work has achieved this by creating a library of gold nanoparticles (GNPs) with diverse ferrocene-containing ligands and incorporating them into human cells in nontoxic doses. These GNPs create cell models with different levels of oxidative stress. The roles of these ligands in controlling oxidative stress were elucidated through first-principles calculations. It was found that substituents",Harnessing Nanotechnology for Cellular Health through Strategic Modulation and Nanoscale Control of Electron Mobility,Alzheimer's Disease,Article,"Institute of Coastal Environmental Pollution Control, Ocean University of China, Qingdao, Shandong, China; Guangzhou University, Guangzhou, Guangdong, China; School of Pharmacy, Shandong First Medical University & Shandong Academy of Medical Sciences, Jinan, Shandong, China; School of Materials Science and Engineering, China University of Petroleum (East China), Qingdao, Shandong, China"
"Objective: Essential tremor is a highly prevalent movement disorder. Pathological changes observed in essential tremor cerebella center around Purkinje cells and neighboring neuronal populations. Postmortem studies have variably, but not always, shown reduced Purkinje cell counts in essential tremor compared to controls. Here we present collective data on 215 essential tremor brains obtained over a 21-year period. Methods: Purkinje cell loss was assessed through linear densities and empty basket percentages in a standard cerebellar tissue block from 215 essential tremor brains and brains from two comparison groups, 72 spinocerebellar ataxia and 165 controls (452 brains). An age-matched sub-sample comprised 195",Purkinje Cell Loss in Essential Tremor: Collective Data From 215 Brains Over a 21-Year Period,Alzheimer's Disease,Article,"Department of Pathology and Cell Biology, Columbia University Irving Medical Center, New York, NY, United States; UT Southwestern Medical School, Dallas, TX, United States; UT Southwestern Medical Center, Dallas, TX, United States"
A C <inf>2</inf> -symmetric cyclic decapeptide and its peptidomimetic based on the KLVFF fragment of amyloid-β (Aβ) are designed and synthesized as potential inhibitors against Aβ aggregation in Alzheimer's disease. These compounds are efficiently synthesized using solution- and solid-phase peptide synthesis. Thioflavin-T assays reveal that both the cyclic decapeptide and its chloroalkene dipeptide isostere (CADI)-containing peptidomimetic significantly inhibit Aβ aggregation. These results demonstrate the potential of C <inf>2</inf> -symmetric cyclic peptides and peptidomimetics as effective Aβ aggregation inhibitors for Alzheimer's disease therapies. © 2025 Thieme. All rights reserved. [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Design and Synthesis of a C 2 -Symmetric Cyclic Decapeptide and Its Peptidomimetic as Potential Inhibitors against Amyloid-β Aggregation,Alzheimer's Disease,Article,"Laboratory for Biomaterials and Bioengineering, Institute of Science Tokyo, Tokyo, Japan"
"Alzheimer’s disease (AD) is a progressive neurodegenerative disorder that causes cognitive decline. Uncovering the mechanisms of neurodegeneration in the early stages is essential to establish a treatment for AD. Recent research has proposed the hypothesis that amyloid-β (Aβ) oligomers elicit an excessive glutamate release from astrocytes toward synapses through intracellular free Ca2+ ([Ca2+]<inf>i</inf>) elevations in astrocytes, finally resulting in neuronal dendritic spine loss. Under physiological conditions, astrocytic [Ca2+]<inf>i</inf> elevations range spatially from microdomains to network-wide propagation and temporally from milliseconds to tens of seconds. Astrocytic localized and fast [Ca2+]<inf>i</inf> elevations might correlate with glutamate release; however, the Aβ-induced alteration of",Amyloid-β-induced alteration of fast and localized calcium elevations in cultured astrocytes,Alzheimer's Disease,Article,"School of Life Science, The Graduate University for Advanced Studies, Hayama, Kanagawa, Japan; Division of Biophotonics, National Institutes of Natural Sciences - National Institute for Physiological Sciences, Okazaki, Aichi, Japan; Biophotonics Research Group, National Institutes of Natural Sciences - Exploratory Research Center on Life and Living Systems, Okazaki, Aichi, Japan; Department of Biochemistry and Systems Biomedicine, Juntendo University Graduate School of Medicine, Tokyo, Japan; Laboratory of Applied Molecular Entomology, Hokkaido University, Sapporo, Hokkaido, Japan"
"BACKGROUND: Caregiver support interventions can reduce depression symptoms for caregivers of persons living with cognitive impairment and dementia (PwCI). However, few studies have assessed the effect of caregiver counseling support on the health-care use of the PwCI. The objective of this study was to assess if caregiver participation in mental health counseling can slow health-care use in PwCI. METHODS: The analysis included all PwCI with cognitive impairment identified through the electronic health records as seen in either the Wake Forest Memory Counseling Program (MCP), providing mental health counseling, and/or the Kulynych Geriatric Consult Clinic (KGCC), providing memory assessment and care,",Mental health counseling for caregivers is associated with a slower rate of health-care use in people with dementia,Alzheimer's Disease,Article,"Department of Internal Medicine, Wake Forest Baptist Health, Winston Salem, NC, United States; Memory Counseling Program, Wake Forest Baptist Health, Winston Salem, NC, United States; Department of Biostatistics & Data Science, Wake Forest Health, Winston Salem, NC, United States"
[No abstract available] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Biomarkers in Parkinson's Disease,Alzheimer's Disease,Review,"Northwestern University Feinberg School of Medicine, Chicago, IL, United States"
"We describe the rationale, methodology, and design of the Boston University Alzheimer's Disease Research Center (BU ADRC) Clinical Core (CC). The CC characterizes a longitudinal cohort of participants with/without brain trauma to characterize the clinical presentation, biomarker profiles, and risk factors of post-traumatic Alzheimer's disease (AD) and AD-related dementias (ADRD), including chronic traumatic encephalopathy (CTE). Participants complete assessments of traumatic brain injury (TBI) and repetitive head impacts (RHIs); annual Uniform Data Set (UDS) and supplementary evaluations; digital phenotyping; annual blood draw; magnetic resonance imaging (MRI) and lumbar puncture every 3 years; electroencephalogram (EEG); and amyloid and/or tau positron emission tomography",Boston University Alzheimer's Disease Research Center Clinical Core: Infrastructure to facilitate research on post-traumatic Alzheimer's disease and related dementias,Alzheimer's Disease,Review,"Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Department of Neurology, Boston Medical Center, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Framingham Heart Study, Framingham, MA, United States; School of Public Health, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; VA Bedford Healthcare System, Bedford, MA, United States; Department of Biostatistics, School of Public Health, Boston, MA, United States; Center for Health Data Science, School of Public Health, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Concussion Legacy Foundation, Boston, MA, United States; VA Boston Healthcare System, West Roxbury, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Boston University College of Engineering, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Department of Pharmacology and Experimental Therapeutics, Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States"
"Neurodegenerative disorders (NDs), such as Alzheimer's disease (AD), Parkinson's disease (PD), and amyotrophic lateral sclerosis (ALS), afflict more than 55 million individuals worldwide, with disease cases projected to triple by the year 2050. All these diseases have been associated with oxidative stress, neuroinflammation, mitochondrial impairment, and protein misfolding, all of which ultimately result in progressive neuronal loss. Existing therapies give only symptomatic relief, an indication of why new neuroprotective approaches are urgently needed. Phytonutrients, bioactive plant compounds, have been highlighted for their antioxidant, anti-inflammatory, and neuroprotective properties. Flavonoids like epigallocatechin gallate (EGCG) in green tea and quercetin in apples were",Phytonutrients in Neuroprotection and Neurodegenerative Disorders,Alzheimer's Disease,Article,"Department of Microbiology, Graphic Era Deemed to be University, Dehradun, UK, India; Department of CSE, Graphic Era Deemed to be University, Dehradun, UK, India"
"Monocyte chemoattractant protein-1 (MCP-1), a cytokine involved in peripheral inflammation, has been shown to modulate established Alzheimer’s disease (AD) loci. In this study, we hypothesized that blood MCP-1 levels may impact the associations of other genetic variants with AD risk beyond the well-established AD loci. We performed a genome-wide association study (GWAS) using logistic regression with the generalized estimating equation (GEE) and Cox proportional hazards models to examine the combined effects of single nucleotide polymorphisms (SNPs) and blood MCP-1 levels on AD. Three datasets were used: the Framingham Heart Study (FHS), Religious Orders Study/Memory and Aging Project (ROSMAP), and Alzheimer’s",The impact of blood MCP-1 levels on Alzheimer’s disease with genetic variation at the NAV3 and UNC5C loci,Alzheimer's Disease,Article,"Department of Medicine (Biomedical Genetics), Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Department of Chemical Pathology, Chinese University of Hong Kong, Faculty of Medicine, Hong Kong, Hong Kong; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Alzheimer's Disease Center, Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; VA Boston Healthcare System, West Roxbury, MA, United States; VA Bedford Healthcare System, Bedford, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Slone Epidemiology Center, Boston, MA, United States; Department of Pharmacology, Physiology & Biophysics, Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Department of Biostatistics, School of Public Health, Boston, MA, United States; Framingham Heart Study, Framingham, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Department pf Ophthalmology, Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States; Boston University Chobanian & Avedisian School of Medicine, Boston, MA, United States"
"Alzheimer's disease (AD) is characterized by the accumulation of amyloid-β (Aβ) peptides and a progressive decline in cognitive function. Hippocampus as a crucial brain area for learning and memory, is also adversely affected by AD's pathology. The accumulation of Aβ is often associated with the loss of dendritic spines of the hippocampus. However, the dynamic alterations in dendritic spines throughout AD progression are not fully understood. To investigate it, we conducted in-vivo imaging in two mouse models representing the early and late stages of AD pathology: young mice injected with Aβ<inf>1</inf><inf>–</inf><inf>42</inf> oligomers and APP/PS1 transgenic mice. In the early-stage AD",Dynamic changes of hippocampal dendritic spines in Alzheimer's disease mice among the different stages,Alzheimer's Disease,Article,"Tianjin University, Tianjin, China; Tianjin University, Tianjin, China; Haihe Laboratory of Brain-Computer Interaction and Human-Machine Integration, Tianjin, Tianjin, China; State Key Laboratory of Advanced Medical Materials and Devices, Tianjin University, Tianjin, China"
[No abstract available] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],"Refractory fever, pulmonary infiltrates, and auricular chondritis: a rare case of VEXAS syndrome following COVID-19 infection in the emergency department",Alzheimer's Disease,Letter,"Department of Emergency Medicine, Peking University First Hospital, Beijing, China; Department of Hematology, Peking University First Hospital, Beijing, China; Department of Radiology, Peking University First Hospital, Beijing, China"
"Background: Readily available treatments for Alzheimer’s disease and related dementia (ADRD) include acetylcholinesterase inhibitors and N-methyl-D-aspartate receptor antagonists. Non-adherence and early discontinuation of anti-dementia medications are prevalent issues. We aimed to investigate factors associated with suboptimal usage of antidementia medications in ADRD. Methods: Based on data extracted from a claim database in South Korea, 508,958 patients with ADRD who began taking anti-dementia medication between 2018 and 2020 were included. The mean possession ratio is the ratio of the sum of prescribed medication supply over one year and non-adherence is defined as mean possession ratio < 80%. Discontinuation is defined as",Adherence of Anti-Dementia Medications in Alzheimer’s Disease and Related Dementia: A Nationwide Cohort Study in Korea,Alzheimer's Disease,Article,"Division of Infectious Diseases, Seoul Metropolitan Government - Seoul National University Borame Medical Center, Seoul, South Korea; Department of Neurology, Yonsei University College of Medicine, Seoul, South Korea; Department of Neurology, Inje University, College of Medicine, Gimhae, Gyeongnam, South Korea"
"Highlights: What are the main findings? Willingness to seek psychological help was positively associated with the well-being of rural Veterans. Many rural Veterans experience high levels of mental health conditions. What is the implication of the main finding? Policymakers should invest in rural settings to improve mental health service delivery for veterans living in rural settings. More research should investigate how to reduce reluctance to seek psychological help among rural veterans. Background/Objective: Veterans in the United States have increased significantly, with a substantial proportion residing in rural areas. This study aims to examine the relationship between help-seeking behaviors and well-being,","Exploring Mental Help-Seeking Behaviors, Health, and Well-Being in Rural Veterans with Chronic Health Conditions: A National Rural Health Study",Alzheimer's Disease,Article,"Department of Public Health Sciences, The University of Texas at El Paso, El Paso, TX, United States; Department of Rehabilitation Sciences, The University of Texas at El Paso, El Paso, TX, United States; MICHIGAN CENTER FOR RURAL HEALTH, East Lansing, MI, United States"
"Objective: This study aims to conduct a bibliometric analysis to explore research trends, collaboration patterns, and emerging themes in the PET/MR field based on published literature from 2010 to 2024. Methods: A detailed literature search was performed using the Web of Science Core Collection (WoSCC) database with keywords related to PET/MR. A total of 4,349 publications were retrieved and analyzed using various bibliometric tools, including VOSviewer and CiteSpace. Results: The analysis revealed an initial increase in PET/MR publications, peaking at 495 in 2021, followed by a slight decline. The USA, Germany, and China were the most prolific countries, with the",Mapping the knowledge landscape of the PET/MR domain: a multidimensional bibliometric analysis,Alzheimer's Disease,Article,"Department of Nuclear Medicine, Chongqing Medical University, Chongqing, Chongqing, China; School of Medicine, Capital Medical University, Beijing, China; Xingyi People's Hospital, Guizhou, China; Institute of Medical Information & Library, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China; Fudan University, Shanghai, China"
"Background: While the association between education and non-communicable diseases (NCDs) is well established, it remains unclear whether this association varies by gender. The aim of this study was to examine two critical research questions: whether the association of education and NCDs is conditioned by gender and, if so, what are the factors contributing to this? Methods: Data from the Longitudinal Aging Study in India Wave 1 (2017–2018) was used for the empirical analysis. The study employs bivariate, binary logistic regression and Oaxaca decomposition analyses. Results: The results reveal that the net likelihood of having at least one chronic NCD increases",Education and non-communicable diseases in India: an exploration of gendered heterogeneous relationships,Alzheimer's Disease,Article,"Centre for Ageing Studies, International Institute for Population Sciences, Mumbai, MH, India; Department of Fertility and Social Demography, International Institute for Population Sciences, Mumbai, MH, India; Tulane University, New Orleans, LA, United States"
"Background: Dementia is an increasing concern among American Indian and Alaska Native (AI/AN) communities, yet machine learning models utilizing electronic health record (EHR) data have not been developed or validated for this population. This study aimed to develop a two-year dementia risk prediction model for AI/AN individuals actively using Indian Health Service (IHS) and Tribal health services. Methods: Seven years of data were obtained from the IHS National Data Warehouse and related EHR databases and divided into a five-year baseline period (FY2007–2011) and a two-year dementia prediction period (FY2012–2013). Four algorithms were assessed: logistic regression, Least Absolute Shrinkage and Selection",Machine learning to predict dementia for American Indian and Alaska native peoples: a retrospective cohort study,Alzheimer's Disease,Article,"Department of Biostatistics and Epidemiology, UCI Susan & Henry Samueli College of Health Sciences, Irvine, CA, United States; Donald Bren School of Information & Computer Sciences, Irvine, CA, United States; UCI School of Medicine, Irvine, CA, United States; University of Colorado Anschutz Medical Campus, Aurora, CO, United States"
"Tau pathology is one of the main pathological features of Alzheimer’s disease (AD). Intracellular Tau may be released to the extracellular space upon neuron degeneration, where it has the potential to be toxic to other neurons. The propagation of Tau pathology, mediated by extracellular Tau aggregates, may underlie the pathogenesis of AD. Antibody therapies targeting Tau proteins are, therefore, considered highly promising. In this study, the cytotoxicity of extracellular Tau aggregates on SH-SY5Y cells was examined. The effect of extracellular Tau aggregates on intracellular Tau aggregation was also studied using a FRET-based assay. The extracellular Tau aggregates were found to",A Single-Chain Variable Fragment Antibody Alleviates Inflammation and Apoptosis of Neurons by Inhibiting Tau Aggregation,Alzheimer's Disease,Article,"National Demonstration Center for Experimental Life Sciences & Biotechnology Education, Beijing Normal University, Beijing, China"
